Date,SCFI
2020-01-03,1022.72
2020-01-10,1002.58
2020-01-17,990.68
2020-01-24,981.19
2020-01-31,957.6533333
2020-02-07,934.1166667
2020-02-14,910.58
2020-02-21,887.72
2020-02-28,875.76
2020-03-06,871.16
2020-03-13,911.85
2020-03-20,898.05
2020-03-27,889.8
2020-04-03,890.37
2020-04-10,867.82
2020-04-17,829.29
2020-04-24,818.16
2020-05-01,852.27
2020-05-08,855.07
2020-05-15,854.08
2020-05-22,847.63
2020-05-29,920.38
2020-06-05,925.5
2020-06-12,1015.33
2020-06-19,988.82
2020-06-26,1001.33
2020-07-03,1055.13
2020-07-10,1033.58
2020-07-17,1035.61
2020-07-24,1022.03
2020-07-31,1103.47
2020-08-07,1107.39
2020-08-14,1167.91
2020-08-21,1183.7
2020-08-28,1263.26
2020-09-04,1320.8
2020-09-11,1355.04
2020-09-18,1409.57
2020-09-25,1421.75
2020-10-02,1443.54
2020-10-09,1438.22
2020-10-16,1448.87
2020-10-23,1469.03
2020-10-30,1529.99
2020-11-06,1664.56
2020-11-13,1857.33
2020-11-20,1938.32
2020-11-27,2048.27
2020-12-04,2129.26
2020-12-11,2311.71
2020-12-18,2411.82
2020-12-25,2641.87
2021-01-01,2783.03
2021-01-08,2870.34
2021-01-15,2885
2021-01-22,2868.95
2021-01-29,2861.69
2021-02-05,2884.61
2021-02-12,2825.75
2021-02-19,2875.93
2021-02-26,2775.29
2021-03-05,2721.94
2021-03-12,2637.53
2021-03-19,2583.87
2021-03-26,2570.68
2021-04-02,2585.42
2021-04-09,2652.12
2021-04-16,2833.42
2021-04-23,2979.76
2021-04-30,3100.74
2021-05-07,3095.16
2021-05-14,3343.34
2021-05-21,3432.5
2021-05-28,3495.76
2021-06-04,3613.07
2021-06-11,3703.93
2021-06-18,3748.36
2021-06-25,3785.4
2021-07-02,3905.14
2021-07-09,3932.35
2021-07-16,4054.42
2021-07-23,4100
2021-07-30,4196.24
2021-08-06,4225.86
2021-08-13,4281.53
2021-08-20,4340.18
2021-08-27,4385.62
2021-09-03,4502.65
2021-09-10,4568.16
2021-09-17,4622.51
2021-09-24,4643.79
2021-10-01,4614.1
2021-10-08,4647.6
2021-10-15,4588.07
2021-10-22,4583.39
2021-10-29,4567.28
2021-11-05,4535.92
2021-11-12,4554.04
2021-11-19,4555.21
2021-11-26,4601.97
2021-12-03,4727.06
2021-12-10,4810.98
2021-12-17,4894.62
2021-12-24,4956.02
2021-12-31,5046.66
